4480|Jacqueline|Duval|F|1965||37 North Monmouth Street|72860|Koeln|51735|Nordrhein-Westfalen|52684|52776|219-377-9955|B: 30,000 - 49,999|1500|Duval@company.example.com|Customer total|52772||01/01/1998||I
8035|Jacqueline|Duval|F|1956|single|47 West Calaveras Road|79359|Lindau|51798|Bayern|52561|52776|240-734-9493|B: 30,000 - 49,999|1500|Duval@company.example.com|Customer total|52772||01/01/1998||I
11590|Jacqueline|Duval|F|1967|married|57 Placer Drive|36149|Beziers|51187|Languedoc-Roussillon|52645|52779|146-634-9541|B: 30,000 - 49,999|1500|Duval@company.example.com|Customer total|52772||01/01/1998||I
15146|Jacqueline|Duval|F|1961||57 South Dekalb Drive|78618|Berea|51180|KY|52632|52790|517-584-5943|B: 30,000 - 49,999|1500|Duval@company.example.com|Customer total|52772||01/01/1998||I
18701|Jacqueline|Duval|F|1978|single|67 West Santa Monica Avenue|59500|El Sobrante|51446|CA|52567|52790|274-659-7364|B: 30,000 - 49,999|1500|Duval@company.example.com|Customer total|52772||01/01/1998||I
26446|Jacqueline|Duval|F|1964|married|7 South Guthrie Circle|31933|Barcelona|51164|Barcelona|52560|52778|553-584-6832|B: 30,000 - 49,999|1500|Duval@company.example.com|Customer total|52772||01/01/1998||I
22257|Jacqueline|Duval|F|1947|married|77 East Guthrie Avenue|80841|Wolverhampton|52514|England - West Midlands|52593|52789|496-603-8789|B: 30,000 - 49,999|1500|Duval@company.example.com|Customer total|52772||01/01/1998||I
25813|Jacqueline|Duval|F|1950||77 South Victoria Avenue|90517|Muenster|51929|Nordrhein-Westfalen|52684|52776|592-273-5939|B: 30,000 - 49,999|1500|Duval@company.example.com|Customer total|52772||01/01/1998||I
29368|Jacqueline|Duval|F|1935|single|87 North Lagrange Avenue|44931|Bad Homburg|51153|Hessen|52617|52776|491-377-1072|B: 30,000 - 49,999|1500|Duval@company.example.com|Customer total|52772||01/01/1998||I
32923|Jacqueline|Duval|F|1937|married|97 West Apple Avenue|38082|Greenwich|51591|England - Greater London|52589|52789|316-734-6304|B: 30,000 - 49,999|1500|Duval@company.example.com|Customer total|52772||01/01/1998||I
38257|Jacqueline|Hanes|F|1948|married|107 West Guthrie Avenue|69776|Hiseville|51663|KY|52632|52790|577-273-4169|B: 30,000 - 49,999|1500|Hanes@company.example.com|Customer total|52772||01/01/1998||I
41812|Jacqueline|Hanes|F|1969||117 Victoria Avenue|58488|Dolores|51391|CO|52569|52790|538-377-9489|B: 30,000 - 49,999|1500|Hanes@company.example.com|Customer total|52772||01/01/1998||I
22227|Honey|Sager|F|1957||77 East Geneva Avenue|38293|Zaandam|52527|Noord-Holland|52683|52770|531-236-9640|G: 130,000 - 149,999|7000|Sager@company.example.com|Customer total|52772||01/01/1998||I
25783|Honey|Sager|F|1959|single|77 South Toa Alta Avenue|39245|Brisbane|51218|Queensland|52703|52774|238-194-7376|G: 130,000 - 149,999|9000|Sager@company.example.com|Customer total|52772||01/01/1998||I
29338|Honey|Sager|F|1954|married|87 North Kanabec Avenue|92117|Oranjewoud|52037|Friesland|52600|52770|151-613-3306|G: 130,000 - 149,999|1500|Sager@company.example.com|Customer total|52772||01/01/1998||I
32893|Honey|Sager|F|1960||97 West 3rd Avenue|79119|Kerkrade|51726|Limburg|52646|52770|160-269-4092|G: 130,000 - 149,999|7000|Sager@company.example.com|Customer total|52772||01/01/1998||I
38227|Honey|Waddell|F|1964||107 West Geneva Avenue|73071|Alleppey|51054|Kerala|52636|52771|435-194-2704|G: 130,000 - 149,999|7000|Waddell@company.example.com|Customer total|52772||01/01/1998||I
41782|Honey|Waddell|F|1942|single|117 Toa Alta Avenue|68054|Krakow|51737|Krakow|52638|52786|201-613-3147|G: 130,000 - 149,999|11000|Waddell@company.example.com|Customer total|52772||01/01/1998||I
45337|Honey|Waddell|F|1977|married|117 South Kanabec Avenue|38878|Hilversum|51662|Noord-Holland|52683|52770|269-269-9893|G: 130,000 - 149,999|1500|Waddell@company.example.com|Customer total|52772||01/01/1998||I
11014|Honey|Waddell|F|1973|married|17 East Bradford Court|59200|Diss|51390|England - Norfolk|52591|52789|243-613-5098|G: 130,000 - 149,999|1500|Waddell@company.example.com|Customer total|52772||01/01/1998||I
45561|Honey|Waddell|F|1943||17 South Packard Court|59622|Nieuwegein|51983|Utrecht|52750|52770|669-269-2676|G: 130,000 - 149,999|9000|Waddell@company.example.com|Customer total|52772||01/01/1998||I
