14430|Oriel|Eastwood|F|1943||57 North Marin Drive|72409|Oosterhout|52033|Noord-Brabant|52682|52770|557-638-6402|D: 70,000 - 89,999|10000|Eastwood@company.example.com|Customer total|52772||01/01/1998||I
17985|Oriel|Eastwood|F|1939|single|67 West Bird Island Avenue|74487|Konstanz|51736|Baden-Wuerttemberg|52559|52776|114-602-7944|D: 70,000 - 89,999|3000|Eastwood@company.example.com|Customer total|52772||01/01/1998||I
21540|Oriel|Eastwood|F|1979|married|77 Onslow Avenue|58334|Massy|51904|Ile-de-France|52623|52779|550-367-5534|D: 70,000 - 89,999|5000|Eastwood@company.example.com|Customer total|52772||01/01/1998||I
25096|Oriel|Eastwood|F|1954||77 South Coahoma Avenue|45704|Mackville|51890|KY|52632|52790|118-591-3961|D: 70,000 - 89,999|10000|Eastwood@company.example.com|Customer total|52772||01/01/1998||I
28651|Oriel|Eastwood|F|1956|single|87 West Roberts Avenue|40715|Ravensburg|52159|Baden-Wuerttemberg|52559|52776|515-272-5207|D: 70,000 - 89,999|3000|Eastwood@company.example.com|Customer total|52772||01/01/1998||I
32207|Oriel|Eastwood|F|1951|married|97 East Forrest Avenue|81292|Nanterre|51972|Ile-de-France|52623|52779|137-196-2039|D: 70,000 - 89,999|5000|Eastwood@company.example.com|Customer total|52772||01/01/1998||I
35763|Oriel|Eastwood|F|1957||97 South Talbot Avenue|33866|Bergen op Zoom|51181|Noord-Brabant|52682|52770|429-625-8540|D: 70,000 - 89,999|10000|Eastwood@company.example.com|Customer total|52772||01/01/1998||I
38429|Oriel|Rice|F|1967||107 West Marin Avenue|57579|Dingle|51389|Kerry|52637|52772|344-196-8553|D: 70,000 - 89,999|10000|Rice@company.example.com|Customer total|52772||01/01/1998||I
41984|Oriel|Rice|F|1958|single|117 East Bird Island Avenue|67843|Arbuckle|51069|CA|52567|52790|585-625-7991|D: 70,000 - 89,999|3000|Rice@company.example.com|Customer total|52772||01/01/1998||I
13047|Oriel|Rice|F|1974|married|17 East Forrest Court|71750|Salthill|52287|Galway|52608|52772|415-625-7462|D: 70,000 - 89,999|5000|Rice@company.example.com|Customer total|52772||01/01/1998||I
45763|Oriel|Rice|F|1940||17 South Talbot Court|85858|Karlsruhe|51718|Baden-Wuerttemberg|52559|52776|372-638-7623|D: 70,000 - 89,999|10000|Rice@company.example.com|Customer total|52772||01/01/1998||I
49318|Oriel|Rice|F|1944|single|27 North Iroquois Boulevard|59500|El Sobrante|51446|CA|52567|52790|216-602-2683|D: 70,000 - 89,999|3000|Rice@company.example.com|Customer total|52772||01/01/1998||I
2874|Oriel|Rice|F|1937|married|37 East Wyoming Street|61795|Eindhoven|51444|Noord-Brabant|52682|52770|529-367-8390|D: 70,000 - 89,999|5000|Rice@company.example.com|Customer total|52772||01/01/1998||I
6429|Oriel|Rice|F|1975||47 Marin Road|40804|Badalona|51158|Barcelona|52560|52778|665-591-5917|D: 70,000 - 89,999|10000|Rice@company.example.com|Customer total|52772||01/01/1998||I
9985|Oriel|Rice|F|1946|single|47 South Bird Island Road|39318|Torrevieja|52374|Alicante|52544|52778|549-272-4978|D: 70,000 - 89,999|3000|Rice@company.example.com|Customer total|52772||01/01/1998||I
13541|Oriel|Rice|F|1945|married|57 West Onslow Drive|38082|Greenwich|51591|England - Greater London|52589|52789|426-196-8374|D: 70,000 - 89,999|5000|Rice@company.example.com|Customer total|52772||01/01/1998||I
17096|Oriel|Rice|F|1942||67 East Coahoma Avenue|52602|Blountstown|51200|FL|52595|52790|586-625-1314|D: 70,000 - 89,999|10000|Rice@company.example.com|Customer total|52772||01/01/1998||I
20651|Oriel|Rice|F|1960|single|67 South Roberts Avenue|78558|Los Angeles|51806|CA|52567|52790|413-638-1102|D: 70,000 - 89,999|3000|Rice@company.example.com|Customer total|52772||01/01/1998||I
3731|Morel|Grier|M|1978|single|37 West Somerset Street|40715|Ravensburg|52159|Baden-Wuerttemberg|52559|52776|574-642-6870|I: 170,000 - 189,999|1500|Grier@company.example.com|Customer total|52772||01/01/1998||A
7286|Morel|Grier|M|1966|single|47 East Hidalgo Road|81292|Nanterre|51972|Ile-de-France|52623|52779|338-768-6759|I: 170,000 - 189,999|7000|Grier@company.example.com|Customer total|52772||01/01/1998||I
10841|Morel|Grier|M|1950|single|47 South Weber Road|33866|Bergen op Zoom|51181|Noord-Brabant|52682|52770|687-358-9580|I: 170,000 - 189,999|9000|Grier@company.example.com|Customer total|52772||01/01/1998||I
14398|Morel|Grier|M|1979|single|57 North Licking Drive|63736|Killarney|51728|Kerry|52637|52772|320-497-2006|I: 170,000 - 189,999|1500|Grier@company.example.com|Customer total|52772||01/01/1998||I
17953|Morel|Grier|M|1955|single|67 West Bath Avenue|32855|Birmingham|51192|England - West Midlands|52593|52789|616-663-3149|I: 170,000 - 189,999|7000|Grier@company.example.com|Customer total|52772||01/01/1998||I
21508|Morel|Grier|M|1954|single|77 Nassau Avenue|75603|Palmdale|52102|FL|52595|52790|671-297-1266|I: 170,000 - 189,999|9000|Grier@company.example.com|Customer total|52772||01/01/1998||I
25064|Morel|Grier|M|1952|single|77 South Champaign Avenue|62145|Nuernberg|51996|Bayern|52561|52776|272-515-9438|I: 170,000 - 189,999|1500|Grier@company.example.com|Customer total|52772||01/01/1998||I
28619|Morel|Grier|M|1980|single|87 West Pueblo Avenue|31132|Saint Marks|52279|FL|52595|52790|626-642-4260|I: 170,000 - 189,999|7000|Grier@company.example.com|Customer total|52772||01/01/1998||I
32175|Morel|Grier|M|1951|single|97 East Dunn Avenue|72860|Koeln|51735|Nordrhein-Westfalen|52684|52776|334-768-7620|I: 170,000 - 189,999|9000|Grier@company.example.com|Customer total|52772||01/01/1998||I
35731|Morel|Grier|M|1955|single|97 South Somerset Avenue|83967|Tilburg|52369|Noord-Brabant|52682|52770|226-358-7184|I: 170,000 - 189,999|1500|Grier@company.example.com|Customer total|52772||01/01/1998||I
38397|Morel|Sullivan|M|1955|single|107 West Licking Avenue|72860|Koeln|51735|Nordrhein-Westfalen|52684|52776|494-768-1673|I: 170,000 - 189,999|1500|Sullivan@company.example.com|Customer total|52772||01/01/1998||I
41952|Morel|Sullivan|M|1976|single|117 East Bath Avenue|79359|Lindau|51798|Bayern|52561|52776|326-358-3167|I: 170,000 - 189,999|7000|Sullivan@company.example.com|Customer total|52772||01/01/1998||I
12725|Morel|Sullivan|M|1983|single|17 East Dunn Court|78371|Inverness|51681|Scotland - Highlands and Islands|52737|52789|208-358-5063|I: 170,000 - 189,999|9000|Sullivan@company.example.com|Customer total|52772||01/01/1998||I
45731|Morel|Sullivan|M|1952|single|17 South Somerset Court|78558|Los Angeles|51806|CA|52567|52790|391-497-8265|I: 170,000 - 189,999|1500|Sullivan@company.example.com|Customer total|52772||01/01/1998||I
49286|Morel|Sullivan|M|1970|single|27 North Hidalgo Boulevard|85057|Cardiff|51316|Wales - South Glamorgan|52764|52789|587-663-9587|I: 170,000 - 189,999|7000|Sullivan@company.example.com|Customer total|52772||01/01/1998||I
2842|Morel|Sullivan|M|1986|single|37 East Weber Street|64852|Helmond|51657|Noord-Brabant|52682|52770|530-297-8230|I: 170,000 - 189,999|9000|Sullivan@company.example.com|Customer total|52772||01/01/1998||I
6397|Morel|Sullivan|M|1950|single|47 Licking Road|74342|Lisburn|51799|Northern Ireland - County Antr|52686|52789|381-515-2510|I: 170,000 - 189,999|1500|Sullivan@company.example.com|Customer total|52772||01/01/1998||A
9953|Morel|Sullivan|M|1953|single|47 South Bath Road|70577|Paterna|52105|Valencia|52755|52778|588-642-3319|I: 170,000 - 189,999|7000|Sullivan@company.example.com|Customer total|52772||01/01/1998||I
13509|Morel|Sullivan|M|1977|single|57 West Nassau Drive|57579|Dingle|51389|Kerry|52637|52772|318-768-5344|I: 170,000 - 189,999|9000|Sullivan@company.example.com|Customer total|52772||01/01/1998||I
17064|Morel|Sullivan|M|1975|single|67 East Champaign Avenue|67843|Arbuckle|51069|CA|52567|52790|406-358-5829|I: 170,000 - 189,999|1500|Sullivan@company.example.com|Customer total|52772||01/01/1998||I
20619|Morel|Sullivan|M|1949|single|67 South Pueblo Avenue|63736|Killarney|51728|Kerry|52637|52772|249-497-3461|I: 170,000 - 189,999|9000|Sullivan@company.example.com|Customer total|52772||01/01/1998||I
24175|Morel|Sullivan|M|1949|single|77 North Dunn Avenue|31933|Barcelona|51164|Barcelona|52560|52778|394-663-6719|I: 170,000 - 189,999|11000|Sullivan@company.example.com|Customer total|52772||01/01/1998||I
27731|Morel|Sullivan|M|1967|single|87 East Somerset Avenue|41847|Edgewood|51443|KY|52632|52790|105-297-4721|I: 170,000 - 189,999|1500|Sullivan@company.example.com|Customer total|52772||01/01/1998||I
31286|Morel|Sullivan|M|1952|single|97 Hidalgo Avenue|44581|Moerdijk|51916|Noord-Brabant|52682|52770|479-515-9633|I: 170,000 - 189,999|7000|Sullivan@company.example.com|Customer total|52772||01/01/1998||I
34842|Morel|Sullivan|M|1973|single|97 North Weber Avenue|55296|Clifton|51332|England - Avon|52588|52789|111-642-9339|I: 170,000 - 189,999|9000|Sullivan@company.example.com|Customer total|52772||01/01/1998||I
36621|Morgan|Edmond|M|1961|married|107 Pulaski Avenue|63627|Keighley|51722|England - West Yorkshire|52594|52789|114-782-2519|C: 50,000 - 69,999|5000|Edmond@company.example.com|Customer total|52772||01/01/1998||I
40176|Morgan|Edmond|M|1946||107 South Dutchess Avenue|31583|Didcot|51386|England - Oxfordshire|52592|52789|550-577-6191|C: 50,000 - 69,999|3000|Edmond@company.example.com|Customer total|52772||01/01/1998||I
43731|Morgan|Edmond|M|1967||117 West Sonoma Avenue|50385|Wakefield|52493|England - West Yorkshire|52594|52789|118-433-5924|C: 50,000 - 69,999|3000|Edmond@company.example.com|Customer total|52772||01/01/1998||I
30513|Morgan|Edmond|M|1931|married|17 North Baton Rouge Court|91556|Leeds|51790|England - West Yorkshire|52594|52789|355-433-1480|C: 50,000 - 69,999|5000|Edmond@company.example.com|Customer total|52772||01/01/1998||I
47509|Morgan|Edmond|M|1958||27 East Natchitoches Boulevard|58488|Dolores|51391|CO|52569|52790|104-605-9769|C: 50,000 - 69,999|3000|Edmond@company.example.com|Customer total|52772||01/01/1998||I
626|Morgan|Edmond|M|1977||37 Charles Street|84773|Stuttgart|52331|Baden-Wuerttemberg|52559|52776|572-123-8872|C: 50,000 - 69,999|3000|Edmond@company.example.com|Customer total|52772||01/01/1998||A
4621|Morgan|Edmond|M|1928|married|37 North Pulaski Street|55787|Montara|51919|CA|52567|52790|159-443-2875|C: 50,000 - 69,999|7000|Edmond@company.example.com|Customer total|52772||01/01/1998||A
