574|Winfred|Weston|M|1945|divorced|5771 Seminary Street|48853|City of London|51328|England - Greater London|52589|52789|(328) 789-7883|E: 90,000 - 109,999|5000|winfred.weston@company2.example.com|Customer total|52772||01/01/1998||I
263|Winifred|Wensel|F|1966|widow|2930 Sequoia Avenue|49147|Almeria|51058|Almeria|52545|52778|(771) 430-2077|H: 150,000 - 169,999|9000|winifred.wensel@company2.example.com|Customer total|52772||01/01/1998||I
525|Winona|Daniels|F|1934|married|664 Grappling Street|86319|Salamanca|52286|Salamanca|52733|52778|(722) 715-7408|G: 130,000 - 149,999|7000|winona.daniels@company2.example.com|Customer total|52772||01/01/1998||A
730|Winsor|Dolley|M|1973|single|9546 Baghdad Lane|59272|San Carlos de Bariloche|52288|Rio Negro|52712|52773|(608) 302-5804|D: 70,000 - 89,999|3000|winsor.dolley@company2.example.com|Customer total|52772||01/01/1998||I
655|Woodrow|Rowe|M|1990|single|10941 Illicitly Turnpike|39113|Lancaster|51786|NH|52668|52790|(208) 578-8095|F: 110,000 - 129,999|7000|woodrow.rowe@company2.example.com|Customer total|52772||01/01/1998||I
41442|Zoe|Eagle|M|1943||117 Mcclain Avenue|46274|Adelaide|51045|South Australia|52741|52774|597-465-9161|G: 130,000 - 149,999|15000|Eagle@company.example.com|Customer total|52772||01/01/1998||I
44997|Zoe|Eagle|M|1948|single|117 South Boulder Avenue|87551|Soest|52318|Utrecht|52750|52770|582-428-7648|G: 130,000 - 149,999|5000|Eagle@company.example.com|Customer total|52772||01/01/1998||I
7624|Zoe|Eagle|M|1948|single|17 Rusk Court|78769|Wroclaw|52517|Wroclaw|52767|52786|294-465-9800|G: 130,000 - 149,999|5000|Eagle@company.example.com|Customer total|52772||01/01/1998||I
43179|Zoe|Eagle|M|1982|married|17 South Garfield Court|38293|Zaandam|52527|Noord-Holland|52683|52770|153-428-4714|G: 130,000 - 149,999|5000|Eagle@company.example.com|Customer total|52772||01/01/1998||I
48775|Zoe|Eagle|M|1957||27 West Thayer Boulevard|54930|Shah Alam|52307|Selangor|52738|52769|227-552-2830|G: 130,000 - 149,999|10000|Eagle@company.example.com|Customer total|52772||01/01/1998||I
2332|Zoe|Eagle|M|1959|single|37 East Johnston Street|68054|Krakow|51737|Krakow|52638|52786|474-348-1096|G: 130,000 - 149,999|3000|Eagle@company.example.com|Customer total|52772||01/01/1998||I
5887|Zoe|Eagle|M|1954|married|37 South York Street|69812|Merton|51911|England - Greater London|52589|52789|595-531-7626|G: 130,000 - 149,999|5000|Eagle@company.example.com|Customer total|52772||01/01/1998||A
9442|Zoe|Eagle|M|1960||47 North Mcclain Road|89484|Bristol|51219|England - Avon|52588|52789|168-632-6681|G: 130,000 - 149,999|10000|Eagle@company.example.com|Customer total|52772||01/01/1998||I
12998|Zoe|Eagle|M|1945|single|57 West Boulder Drive|46981|Den Haag The Hague|51385|Zuid-Holland|52771|52770|180-796-2979|G: 130,000 - 149,999|5000|Eagle@company.example.com|Customer total|52772||01/01/1998||I
16553|Zoe|Eagle|M|1979|married|67 Owen Avenue|60073|Klang|51732|Selangor|52738|52769|659-465-1441|G: 130,000 - 149,999|5000|Eagle@company.example.com|Customer total|52772||01/01/1998||I
20109|Zoe|Eagle|M|1980||67 South Conecuh Avenue|80601|Sao Jose dos Campos|52294|Sao Paulo|52735|52775|386-428-4928|G: 130,000 - 149,999|10000|Eagle@company.example.com|Customer total|52772||01/01/1998||I
23665|Zoe|Eagle|M|1945|single|77 West Rusk Avenue|40125|Katowice|51720|Katowice|52635|52786|516-552-5916|G: 130,000 - 149,999|5000|Eagle@company.example.com|Customer total|52772||01/01/1998||I
